Paul Éluard;Éluard versei
Viktor Pelevin;T
Emma Donoghue;A szoba
Arto Paasilinna;Az akasztott rókák erdeje
Paula McLain;A párizsi feleség
Carlos Ruiz Zafón;The Rose of Fire (Az elfeledett könyvek temetõje)
Erdõs Virág;A Trabantfejû Nõ
Erin Morgenstern;Éjszakai cirkusz
Jonathan Safran Foer;Rém hangosan és irtó közel
Kate Morton;Az elfeledett kert
Sir Arthur Conan Doyle;A sátán kutyája
Ray Bradbury;Fahrenheit 451
F. Scott Fitzgerald;A nagy Gatsby
Bella István;Szeretkezéseink
Békés Pál;Csikágó
Muriel Barbery;Ínyencrapszódia
Caitlín R. Kiernan;The Drowning Girl
Joanne Harris;Csokoládés barack (Csokoládé 3.)
Ljudnila Ulickaja;Történetek állatokról és emberekrõl
Maurice Druon;Zeusz emlékiratai
Orson Scott Card;Bûvölet
Beth Hoffman;Déli álmok
Lénárd Sándor;Egy nap a láthatatlan házban
Iselin C. Hermann;Expressz ajánlott!
Alessandro D'Avenia;Fehér, mint a tej, piros, mint a vér
Eowyn Ivey;A hóleány
Steven Saylor;Birodalom (Róma 2.)
Alice Munro;Csend, vétkek, szenvedély
Kira Poutanen;A csodálatos tenger
Truman Capote;Álom luxuskivitelben / Meghallgatott imák
Gabriel García Márquez;Szerelem a kolera idején
Imre Viktória Anna;Az Õrült Hold alatt
Alessandro Baricco;Mr. Gwyn
John Scalzi;Vének háborúja (Vének háborúja 1.)
F. H. Burnett;A titkos kert
Ursula Jones - Sarah Gibb;A királykisasszony, akinek nem volt birodalma
John Scalzi;Szellemhadtest (Vének háborúja 2.)
Virginia Woolf;Mrs. Dalloway
Carlos Ruiz Zafón;A szél árnyéka (Az Elfeledett Könyvek Temetõje 1.) [újraolvasás]
Ljudmila Ulickaja;Történetek gyerekekrõl és felnõttekrõl
Alexandra Harris;Virginia Woolf
Alan Bradley;De mi került a pitébe? (Flavia de Luce 1.)
Andreas Eschbach;Hajszõnyegszövõk
Sven Nordquist;Amikor Findusz kicsi volt és eltûnt (Findusz 1.)
Alexander Steffensmeier;Liza leselkedik
Ursula Jones - Sarah Gibb;Szépség és a Szörnyeteg
Dorit Rabinjan;Lakodalmaink
Susan Cain;Csend
Jessica Brockmole;Levelek Skye szigetérõl
Ken Kesey;Száll a kakukk fészkére
Catherynne M. Valente;A lány, aki Tündérföld alá zuhant és a tivornya élére állt (Tündérföld 2.)
Ben Aaronovitch;London folyói (Peter Grant 1.)
Vincent Cuvellier;Emil denevért szeretne (Emil 1.)
Vincent Cuvellier;Emil láthatatlan (Emil 2.)
Moskát Anita;Bábel fiai
Louis de Berniéres;Don Emmanuel háborúja (Dél-Amerika 1.)
Scott Westerfeld;Góliát (Leviatán 3.)
Robert Galbraith;Kakukkszó (Cormoran Strike 1.)
Mary Robinette Kowal;Üvegbûbáj (Glamour 2.)
Baráth Katalin;Az arany cimbalom (Dávid Veron 4.)
Gerald Durrell;Madarak, vadak, rokonok (Korfu 2.) [újraolvasás]
Werner Holzwarth;Mese a vakondról, aki tudni akarta, hogy ki csinált a fejére
Robert Holdstock;Mitágó-erdõ
Kiera Cass;The Selection (The Selection 1.)
Silvia Avallone;Acél
Woolf Haas;Halottak feltámadása (Brenner 1.)
Jill Tomlinson;A pingvin, aki mindenre kíváncsi volt
Dóka Péter;A kék hajú lány
Dániel András;Kicsibácsi és Kicsinéni (meg az Imikém)
Jill Tomlinson;A cica, aki haza akart menni
Riikka Pulkkinen;Igaz
Italo Calvino;Ha egy téli éjszakán egy utazó
Havasi Attila;Manócska meghal
Caitlin Moran;Hogyan legyünk tökös csajok?
Gail Carriger;Blameless - Szégyentelen (Napernyõ Protektorátus 3.)
Siân Rees;Úszó bordély
Max Brooks;World War Z - Zombiháború
Carson McCullers;Óra mutató nélkül
J.K. Rowling;Átmeneti üresedés
Kathleen Grissom;Tölgyfa a dombtetõn
Amélie Nothomb;Ördögi kozmetika
Lawrence Block;Bérgyilkos mindörökké (Bérgyilkos 3.)
Németh László;Iszony
Amanda Stevens;The Restorer (Graveyard Queen 1.)
Émile Ajar;Salamon király szorong
Lionel Shriver;Születésnap után
Zalán Tibor;Lassú halált játszik
Jo Baker;Longbourn árnyékában
Szerb Antal;A Pendragon legenda
Lev Tolsztoj - Szofja Tolsztaja;Kreutzer-szonáta / Ki a bûnös?
Dániel András;Egy kupac kufli
Rob Scotton;Russell, a bárány
Borsos J. Gyöngyi - Makhult Gabi;Macskamesék
Arundhati Roy;Az Apró Dolgok Istene
Andy Weir;A marsi
Jill Tomlinson;A bagoly, aki félt a sötétben
Bohumil Hrabal;Õfelsége pincére voltam
Lawrence Block;Sírok között (Matt Scudder 10.)
Maggie Stiefvater;The Raven Boys - A hollófiúk (Hollófiúk 1.)
Audrey Niffenegger;A Highgate temetõ ikrei [újraolvasás]
Daphne du Maurier;Madarak
China Miéville;Patkánykirály
Guillermo Martínez;Oxfordi sorozat
A. S. Byatt;Mindenem
Kõrösi Zoltán;Milyen egy nõi mell?
Stefano Benni;Gyorslábú Achille
Robin Hobb;Az orgyilkos tanítványa (Látnok-ciklus 1.)
Mélanie Watt;Cidrimókus (Cidrimókus 1.)
Torben Kuhlmann;Lindbergh
Vincent Cuvellier;Emil beöltözik
Kim Stanley Robinson;A rizs és a só évei
Vavyan Fable;Szennybõl az Angyal [újraolvasás] 
