Borbély Szilárd;Nincstelenek
Kun Árpád;Boldog Észak
Koltai Tamás;Zsöllyerablét. 50 év színházban
Rubin Szilárd;Aprószentek
Keresztesi József;Rubin Szilárd - pályarajz
Pór Péter;Tornyok és tárnák. Tanulmányok a költõi teremtés alakzatairól
Varga Mátyás;Hajanali 3
Turi Tímea;Jönnek az összes férfiak
Radványszky Anikó (szerk.);"""Figyeljétek a mesélõ embert"". Esszék és tanulmányok Lengyel Péterrõl"
Salman Rushdie;Joseph Anton
Molnos Péter;Titkos gyûjtemény
Tompa Andrea;Fejtõl s lábtól. Kettõ orvos Erdélyben
Farkas Péter;Nehéz Esõk
Kis János;Az összetrlódott idõ. Politikai írások, 1992-2013
G. István László;Hármosoltárok
Bereményi Géza;Vadnai Bébi
Szilasi László;A harmadik híd
Babiczky Tibor;Magas tenger
Závada Pál;Természetes fény
A. F. Th. Van der Heijden;Tonio. Rekviemregény
Hargittai István;Eltemetettdicsõség. Hogyan tették a szovjet tudósok szuperhatalommá a Szovjetúniót
Kerékgyártó István;Hurok. Pénzmagyar
Bodor Johanna;Nem baj, majd megértem
Keresztesi József;Anabázis. Esszék, kritikák
Lengyel Imre Zsolt;Beszélgetés Fákról. Irodalomkritikák 2009 - 2012
Sántha József;Talányaink összessége. Válogatott kritikák és tanulmányok, 2007 - 2010
Vári György;Az emberiség végnapjai. Irodalomkritikák
;Magyarország - egy új korszak építészeti alkotásai. Modern és szocreál 1945 - 1960
Weöres Sándor;Elhagyott versek
Péterfy Gergely;Kitömött barbár
Esterházy Péter;Egyszerû történet veszzõ száz oldal - a Márk-változat -
Jichak Katzenelson;Ének a kiirtott zsidó néprõl
Kövér György;Biográfia és társadalomtörténet
Várady Tibor;Zoknik a csilláron, életek hajszálon. Történetek az irattárból
Fenyõ Miksa;Az elsodort ország. Naplójegyzetek 1944-1945-bõl
Beskovics György;V. és Ú.
Kincses Elemér;Mindörökké
Alice Munro;Drága élet
