Vlagyimir Szorokin;Tellúria
Bruce Bueno de Mesquita - Alastair Smith;Diktátorok kézikönyve - Miért jó politika a rossz viselkedés?
Wilbur Smith;A sivatag istene
Gabrielle Zevin;Egy könyvmoly regényes élete
John le Carré;Tükrök háborúja
Graeme Simsion;A Rosie projekt
Karin Alvtegen;Szégyen
Paulo Coelho;Házasságtörés
Robert Galbraith;Kakukkszó
John Green;Csillagainkban a hiba
Émile Ajar;Salamon király szorong 
Grégoire Delacourt;Vágyaim listája
Põcze Flóra;A Moszkva tér gyermekei
Bartók Imre;A nyúl éve
Helena S. Paige;Egy lány belép a bárba
Baráth Katalin;Az arany cimbalom
Alice Munro;Drága élet
M. Nagy Miklós;Ha nem is egy bomba nõ
Irvin D. Yalom;Szerelemhóhér
Grecsó Krisztián;Megyek utánad
Jonathan Wilson;Futballforradalmak. A foci története és taktikai fejlõdése a kezdetektõl a 2014-es brazíliai vb-ig
Háy János;Napra jutni
Ben Macintyre;A Vagdalthús hadmûvelet - Egy fantasztikus történet igaz krónikája
Salla Simukka;Vérvörös
Juan Gabriel Vásquez;A hírnév
Leena Lehtolainen;Egyszer úgyis meg kell halni
Zórád Ernõ;Aranyásók Alaszkában
Bíró Zsófia;A boldog hentes felesége
Florian Illies;1913 - Az évszázad nyara
Dés Mihály;77 pesti recept
Robert Kirkman, Charlie Adlard, Cliff Rathburn;Walking Dead, Élõhalottak 7 - Vihar elõtti csend
Helen Fielding;Bolondulásig - Bridget Jones naplója 3.
Babiczky Tibor;Magas tenger
Jeff Vandermeer;Expedíció (Déli végek-trilógia 1.)
Gillian Flynn;Holtodiglan
Berki Judit;Ülök a matracon
Szalay Tamás Lajos;A kampányguru
Zahar Prilepin;Mert mi jobbak vagyunk
Kondor Vilmos;A másik szárnysegéd
