Tompa Andrea;Fejtõl s lábtól
Krusovszky Dénes;A fiúk országa
Péterfy Gergely;Kitömött barbár
Szijj Ferenc;Agyag és kátrány - Fényleírás
Darvasi László;Ez egy ilyen csúcs  A nagy Szív Ernõ-füzet
Bertók László;Ott mi van?
Grecsó Krisztián;Megyek utánad
Lanczkor Gábor;Folyamisten
Sándor Iván;A kõ visszahull. Napló 1989/2014
Egressy Zoltán;Százezer eperfa
Péterfy Gergely;Kitömött barbár
Esterházy Péter;Egyszerû történet vesszõ száz oldal 
Erdõs István;Rajkó
Finy Petra;Kettõ
Kalapos Éva;D.A.C. 2. - Rázós utakon
Borsos J. Gyöngyi, Makhult Gabi;Macskamesék
Rakovszky Zsuzsa;Szilánkok
Kovács András Ferenc;York napsütése zengõ tombolás
Aczél Géza;(szino)líra
Tóth Kinga;All Machine
Nemes Z. Márió;A hercegprímás elsírja magát
Norman Manea;Odú
Daniel Bãnulescu;Csókolom a segged, Szeretett Vezérünk!
Kerékgyártó István;Hurok. Pénzmagyar
Háy János;Napra jutn
Bodor Johanna;Nem baj, majd megértem
Závada Pál;Természetes fény
Nagy Kis-Madár;Jim Northrup odzsibve indián költõ versei
Jevgenyij Popov;Vodkára vodkát
