Markó Béla;Csatolmány
Samuel Pisar;Vér és remény. Auschwitz poklából a sikerek csúcsáig
Jacek Hugo-Bader;Kolimai napló
J. G. Farrell;Zavaros idõk
Tóth Ákos;Kultúrafinanszírozás az Európai Unió tagállamaiban és Magyarországon
Nóvé Béla;Múltunk, ha szembejön. Önkényuralmi emlékeink
László Krasznahorkai;Guerre et guerre
Weiss János;A múlt emlékezete
Amir Gutfreund;A mi holokausztunk
Szûcs László;Gazoskönyv. Válogatott publicisztikák 20032008
Spiró György;Az Ikszek
Zahar Prilepin;Mert mi jobbak vagyunk
Kovács András Bálint;A kör bezárul. Tarr Béla filmjei
Ferdinand von Schirach;Collini nem beszél
Bényei Tamás;Más alakban: A metamorfózis lehetséges poétikái és politikái
José Saramago;Tetõablak
Ignacio Martínez de Pisón;Mel­lékutakon
Márai Sándor;Egy polgár vallomásai (19341935/1940)
Erdõs Virág;ezt is el
Körner András;Hogyan éltek? A magyar zsidók élete 18671940
Kötter Tamás;Rablóhalak
Farkas Péter;Nehéz esõk
Szabó Miklós;A jó kommunista szilárdan együtt ingadozik a Párttal
Denis Diderot;Esztétika, filozófia, politika
Gitta Sereny;A sötétség felé
Gombár Csaba;Személyes írások
Centauri;Jégvágó
Uri Asaf;Együtt és külön
Podmaniczky Szilárd;Klímadogma
Szlukovényi Katalin;Hamis nosztalgiák
Hidas Judit;Hotel Havanna
Michael-Thomas Liske;Gottfried Wilhelm Leibniz
Körner András;Egy vonakodó zsi­dó  Esszék és történetek
G. István László;Hármasoltárok
Darvasi László;Virágzabálók
Randolph L. Braham (szerk.);The Geographical Encyclopedia of the Holocaust in Hungary I
Jan Assmann;Religio duplex. Az egyiptomi misztériumok és az európai felvilágosodás
Mo Yan;Szeszföld
Czapáry Veronika;Megszámolt babák
Kemenes Géfin László;Fehérlófia nyomában. Kalandozások, szerelmek
GYARMATI GYÖRGY, LENGVÁRI ISTVÁN, PÓK ATTILA;Bûnbak minden idõben. Bûnbakok a magyar és az egyetemes történelemben
Szüts Miklós;Akvarellek 2009-2013
Berkovits György;V. és Ú./II. Jelzõmûvész
kabai lóránt;avasi keserû
L. Balogh Béni;Kiszolgáltatva. A dél-erdélyi magyar kisebbség 19401944 között
Krasznahorkai László;Seiobo járt odalent 
Arno Geiger;A számûzött öreg király
Randolph L. Braham;A holokauszt Tinódija
Karen MackJennifer Kaufman;Freud szeretõje
Kiss Noémi;Ikeranya
Péterfy Sarolt;Jékely 100
Varga Balázs;Final cut. Tan­­könyv
Daniel Arasse;Raffaello látomásai. Képfilozófiák
Szaszák György;Kassai kapuk
Herman Koch;A vacsora
Jan Caeyers;Beethoven
Gilles DeleuzeFélix Guattari;Mi a filozófia?
Ramón Chao;A jég és a tûz vonata
Márai Sándor;Beszéljünk másról?
P. Müller Péter;A magyar dráma az ezredfordulón
Gerard van Emmerik;Csibefiú
;Minden héten forradalom. A szerk. 2010-2014. Az elmúlt négy év 141 tételben
Kerékgyártó István;Hurok
Szépe György;Nyelvészportrék
Bertók László;Ott mi van?
Ludassy Mária;Fel­vi­lá­go­so­dástól elsötétítésig. Politikafilozófiai írások
Aczél Géza;(Szino)líra  torzószótár
Weöres Sándor;Priapos. Pajzán versek
Rácz Péter;Az alvó testrõl
Grendel Lajos;Utazás a semmi felé
Kiss Tibor Noé;Aludnod kellene
Horváth Péter;Kedves Isten
Egressy Zoltán;Százezer eperfa
Nemes Z. Márió;A hercegprímás elsírja magát
Tatár György;A másik oldal. Kab­­­ba­lista esszék
Heller Ágnes;Olvasónapló 20132014
Szegedy-Maszák Marianne;Csókolom a kezét
Tallér Edina;Most akkor járunk?
Dani Rodrik;A globalizáció paradoxona. Demokrácia és a világgazdaság jövõje
Thomas Glavinic;A kamerás gyilkos
Daniel Banulescu;Csókolom a segged, Szeretett Vezérünk! 
Gyenge Zoltán;Kép és mítosz. A mitológia esztétikája
Anoni Mara;Bûn vagy bûnhõdés
Várady Tibor;Zoknik a csilláron, életek hajszálon. Történetek az irattárból
Bodor Johanna;Nem baj, majd megértem
Farkas Zoltán;Hét szûk esztendõ. A válságtól az önkénygazdaságig
Tóth Krisztina;A londoni mackók
Szegedi Péter;Riválisok. Deb­re­cen futballtársadalma a 20. század elsõ felében
Florian Illies;1913. Az évszázad nyara
Alex Bandy;A csokoládé-gyilkosság
Pál Ferenc;Saramago-olvasatok. Kísérlet José Saramago regényeinek befogadás szempontú elemzésére és az olvasói befogadás lehetõségeinek vizsgálatára
Tóth Gábor Attila;A jogok törvénye. Értekezések az alkotmányos szabadságról
Pavel Vilikovský;Kutya az úton
Valachi Anna;A nõ számomra rejtély. József Attila asszonyai
Háy János;Napra jutni
Gilles Deleuze;Francis Bacon. Az érzet logikája
Tomá Zmekal;Az ékírásos szerelmeslevél
Jichak Katzenelson;Ének a kiirtott zsidó néprõl  Halasi Zoltán: Út az üres éghez
Markó Béla;Fûszál a sziklán
Juan Gabriel Vásquez;A hírnév
Pallag Zoltán;Noir.
Imma Monsó;Sosem lehet tudni
Oravecz Nóra;99 léleksimogató gondolat
Csizmadia Ervin;Miért alaptalan a magyar demokrácia?
Nicholas Wapshott;Keynes és Hayek. Az összecsapás, amely meghatározta a modern közgazdaságtant. A nagy válságtól a nagy recesszióig
Ungváry Krisztián;Tettesek vagy áldozatok? Feltáratlan fejezetek a XX. század történelmébõl
Roberto Saviano;Zéró, zéró, zéró
Marsó Paula;Jean-Jacques Rousseau és az írás problémája
Szántó T. Gábor;Kafka macskái
Nicol Ljubiæ;Bonaca
Esterházy Péter;Ha minden jól megy
Martin Ferenc;A félelem képei. Fritz Lang német filmjeinek látványvilága
Fabio Volo;Járok egyet
Sztanyiszlav Belkovszkij;Putyin. Az ember, aki nem létezett
Tóth Krisztina;Pixel
Olasz Sándor;Kalliopé útkeresé­sei. Mai prózánkról
Gyenge Zoltán (szerk.);S?ren Kierkegaard 18132013
Semezdin Mehmedinoviæ;Ruszki komputer
M. Nagy Miklós;Ha nem is egy bomba nõ. Szerelmesregény
Joël Dicker;Az igazság a Harry Quebert-ügyben
Csillag István;Deficit. Szándékon túli eredmény
Benjamin Stein;A vászon
Horváth László Imre;Lett este és lett reggel
Horányi Katalin;Vakfolt
Pléh Csaba és Lukács Ágnes (szerk.);Pszicholingvisztika 12
Váradi András;Haydan és most
Lipovecz Iván, szerk.;Miénk (lett vol­na?) a tér? A magyar média ma­­gá­no­sítása
Térey János;Átkelés Bu­da­pes­ten. Novellák
Perecz László;Háttér elõtt. Írások a magyar filozófia múltjáról és jelenérõl
Stõhr Lóránt;Keserû könnyek. A melodráma a modernitáson túl
Robert Nye;A néhai Mr. Shakespeare
Gömöri György;Rózsalovaglás. Újabb versek
Leander Kahney;Jony Ive  A zseni az Apple termékei mögött
Bíró Zsófia;A boldog hentes felesége
Robert Galbraith;Kakukkszó
Madarász Imre;Két máglya. Savonarola és Giordano Bruno
Simon Róbert;Az iszlám funda­men­talizmus
Sztanó László;Taljánok, olaszok, digók. A nemzeti sztereotípi­ák fogságában
Mario Vargas Llosa;A látványcivilizáció
Ludwig Hohl;Hegymenet
David Zábranský;Mindig más strandra vágyik
Dobai Lili;Képeskönyv
Böcskei Balázs (szerk.);Padlóról padlóra
Veres István;Dandaranda
Tóth Krisztina;Pillanatragasztó
Nyíri János;Madárország
;Hûség mindhalálig. Wittner Mária és Bene Éva beszélgetése
Émile Ajar;Salamon király szorong
Esze Dóra;Tiszta Pierre. Ken­ter­beveri mesék
Kovács András Ferenc;York napsütése zengõ tombolás. Kettõs verseskönyv, 19802014
Marina Sztyepnova;Lazar asszonyai
Ámosz Oz;Barátok között
Losoncz Márk;Vakító gépezetek
Erwin Mortier;Dadogó dalok könyve. Anyaévszakok
Nemes Z. Márió;A preparáció jegyében
Kerber Balázs;Alszom rendszertelenül
Nagy Koppány Zsolt;Nem kell vala megvénülnöd 2.0
Lovas Ildikó;Cenzúra alatti. Készülõdés szabómagdaságra
Jody Jensen;Globalizáció és új kormányzás
Bengt Jangfeldt;Raoul Wallenberg élete
Márai Sándor;A teljes napló 19671969
Magyar Bálint (szerk.);Magyar polip. A posztkommunista maffiaállam
Kõbányai János;A nem cselek­vés bûntudata. Nem zsidók zsidók­ról
Erlend Loe;Fvonk
Darida Veronika;Jeles András és a katasztrófa színháza (egy színházi gondolkodás bemutatása)
Cserna-Szabó András;Veszett pa­ra­dicsom
Szále László;Pokolhegy
Péterfy-Novák Éva;Egyasszony
Sophie Hannah;A monogramos gyilkosságok
Jalsovszky KatalinTomsics EmõkeToronyi Zsuzsanna;A magyarországi zsidóság képes története
Ricardo Piglia;Éjjeli vadászat
Monroe E. Price;Menekülõ tárgyak. Bécsi álmok Amerikában
Rainer Maria Rilke;Levelek IIV. 18941910, 191116,  19171922, 19231926
Ken Follett;Az örökkévalóság küszöbén. Évszázad-trilógia 3
Glenn Greenwald;A Snowden-ügy
Laczó Ferenc;Felvilágosult vallás és modern katasztrófa között
Rockenbauer Zoltán;Apacs mûvészet. Adyzmus a festészetben és a kubista Bartók (19001919)
Misima Jukio;Barátom, Hitler és Madame de Sade. Drámák.
